gtin14,jan3,jan4,jan13keta,indicator
04942962174701,494,4942,4942962174701,i0
04942962174718,494,4942,4942962174718,i0
04942962174732,494,4942,4942962174732,i0
04942962174756,494,4942,4942962174756,i0
04942962174763,494,4942,4942962174763,i0
04942962174770,494,4942,4942962174770,i0
04942962174800,494,4942,4942962174800,i0
04946279102471,494,4946,4946279102471,i0
04946279102488,494,4946,4946279102488,i0
04946279102495,494,4946,4946279102495,i0
04946279102501,494,4946,4946279102501,i0
04946279102518,494,4946,4946279102518,i0
04946279102525,494,4946,4946279102525,i0
04946279102709,494,4946,4946279102709,i0
04946279102716,494,4946,4946279102716,i0
04946279102723,494,4946,4946279102723,i0
04946279102730,494,4946,4946279102730,i0
04946279108411,494,4946,4946279108411,i0
04946279108428,494,4946,4946279108428,i0
04946279108435,494,4946,4946279108435,i0
04946279108442,494,4946,4946279108442,i0
04946279108480,494,4946,4946279108480,i0
04946279108503,494,4946,4946279108503,i0
04946279108510,494,4946,4946279108510,i0
04946279108527,494,4946,4946279108527,i0
04946279108534,494,4946,4946279108534,i0
04946279108541,494,4946,4946279108541,i0
04946279108558,494,4946,4946279108558,i0
04946279108572,494,4946,4946279108572,i0
04946279108589,494,4946,4946279108589,i0
04946279108596,494,4946,4946279108596,i0
04946279108602,494,4946,4946279108602,i0
04946279108725,494,4946,4946279108725,i0
04946279108732,494,4946,4946279108732,i0
04946279108749,494,4946,4946279108749,i0
04946279108756,494,4946,4946279108756,i0
04946279108763,494,4946,4946279108763,i0
04946279108770,494,4946,4946279108770,i0
04946279108787,494,4946,4946279108787,i0
04946279109012,494,4946,4946279109012,i0
04946279109029,494,4946,4946279109029,i0
04946279109708,494,4946,4946279109708,i0
04946279111688,494,4946,4946279111688,i0
04946279111695,494,4946,4946279111695,i0
04946279111701,494,4946,4946279111701,i0
04946279111718,494,4946,4946279111718,i0
04946279116508,494,4946,4946279116508,i0
04946279116515,494,4946,4946279116515,i0
04946279116522,494,4946,4946279116522,i0
04946279116546,494,4946,4946279116546,i0
04946279116553,494,4946,4946279116553,i0
04946279116560,494,4946,4946279116560,i0
04946279116577,494,4946,4946279116577,i0
04946279116584,494,4946,4946279116584,i0
04946279116591,494,4946,4946279116591,i0
04946279116607,494,4946,4946279116607,i0
04946279116614,494,4946,4946279116614,i0
04946279116621,494,4946,4946279116621,i0
04946279116720,494,4946,4946279116720,i0
04946279116737,494,4946,4946279116737,i0
04946279118656,494,4946,4946279118656,i0
04946279120451,494,4946,4946279120451,i0
04946279120468,494,4946,4946279120468,i0
04946279120475,494,4946,4946279120475,i0
04946279120482,494,4946,4946279120482,i0
04946279120499,494,4946,4946279120499,i0
04946279120505,494,4946,4946279120505,i0
04946279122370,494,4946,4946279122370,i0
04946279123148,494,4946,4946279123148,i0
04946279124725,494,4946,4946279124725,i0
04946279124732,494,4946,4946279124732,i0
04946279126637,494,4946,4946279126637,i0
04946279127030,494,4946,4946279127030,i0
04946279127597,494,4946,4946279127597,i0
04946279128990,494,4946,4946279128990,i0
04946279129003,494,4946,4946279129003,i0
04946279129010,494,4946,4946279129010,i0
04946279129027,494,4946,4946279129027,i0
04946279130139,494,4946,4946279130139,i0
04946279130412,494,4946,4946279130412,i0
04946279131051,494,4946,4946279131051,i0
04946279131242,494,4946,4946279131242,i0
04946279137848,494,4946,4946279137848,i0
04946279253265,494,4946,4946279253265,i0
04946279253531,494,4946,4946279253531,i0
04946279253999,494,4946,4946279253999,i0
04946279254002,494,4946,4946279254002,i0
04946279254422,494,4946,4946279254422,i0
04946279254965,494,4946,4946279254965,i0
04946279254972,494,4946,4946279254972,i0
04946279254989,494,4946,4946279254989,i0
04946279254996,494,4946,4946279254996,i0
04946279255009,494,4946,4946279255009,i0
04946279255016,494,4946,4946279255016,i0
04946279255023,494,4946,4946279255023,i0
04946279255030,494,4946,4946279255030,i0
04946279255047,494,4946,4946279255047,i0
04946279255054,494,4946,4946279255054,i0
04946279255139,494,4946,4946279255139,i0
04946279255412,494,4946,4946279255412,i0
04946279255924,494,4946,4946279255924,i0
04946279256440,494,4946,4946279256440,i0
04946279256655,494,4946,4946279256655,i0
04946279267484,494,4946,4946279267484,i0
04946279268009,494,4946,4946279268009,i0
04946279268245,494,4946,4946279268245,i0
04946279270088,494,4946,4946279270088,i0
04946279271825,494,4946,4946279271825,i0
04946279284238,494,4946,4946279284238,i0
04946279294350,494,4946,4946279294350,i0
04946279295234,494,4946,4946279295234,i0
04946279299331,494,4946,4946279299331,i0
04946279301591,494,4946,4946279301591,i0
04946279315819,494,4946,4946279315819,i0
04946279316908,494,4946,4946279316908,i0
04946279704613,494,4946,4946279704613,i0
04946279704620,494,4946,4946279704620,i0
04946279704576,494,4946,4946279704576,i0
04946279704583,494,4946,4946279704583,i0
04946279704590,494,4946,4946279704590,i0
04946279704606,494,4946,4946279704606,i0
04946279704637,494,4946,4946279704637,i0
04946279704644,494,4946,4946279704644,i0
04946279704651,494,4946,4946279704651,i0
04946279709984,494,4946,4946279709984,i0
04946279724284,494,4946,4946279724284,i0
04946279731145,494,4946,4946279731145,i0
04946279731763,494,4946,4946279731763,i0
04946279738397,494,4946,4946279738397,i0
04946279738403,494,4946,4946279738403,i0
04946279738410,494,4946,4946279738410,i0
04946279738427,494,4946,4946279738427,i0
04946279738847,494,4946,4946279738847,i0
04946279738892,494,4946,4946279738892,i0
04946279739899,494,4946,4946279739899,i0
04946279746125,494,4946,4946279746125,i0
04946279746132,494,4946,4946279746132,i0
04946279746149,494,4946,4946279746149,i0
04946279746156,494,4946,4946279746156,i0
04946279748181,494,4946,4946279748181,i0
04946279748112,494,4946,4946279748112,i0
04946329046298,494,4946,4946329046298,i0
04946329046366,494,4946,4946329046366,i0
04946329046427,494,4946,4946329046427,i0
04946329047226,494,4946,4946329047226,i0
04946329047325,494,4946,4946329047325,i0
04946329051452,494,4946,4946329051452,i0
04946329051469,494,4946,4946329051469,i0
04946329051476,494,4946,4946329051476,i0
04946329051483,494,4946,4946329051483,i0
04946329051490,494,4946,4946329051490,i0
04946329051506,494,4946,4946329051506,i0
04946329051513,494,4946,4946329051513,i0
04946329051575,494,4946,4946329051575,i0
04946329051582,494,4946,4946329051582,i0
04946329051599,494,4946,4946329051599,i0
04946329051605,494,4946,4946329051605,i0
04946329051612,494,4946,4946329051612,i0
04946329051629,494,4946,4946329051629,i0
04946329051636,494,4946,4946329051636,i0
04946329051643,494,4946,4946329051643,i0
04946329051650,494,4946,4946329051650,i0
04946329051667,494,4946,4946329051667,i0
04946329051674,494,4946,4946329051674,i0
04946329051681,494,4946,4946329051681,i0
04946329056471,494,4946,4946329056471,i0
04946329056679,494,4946,4946329056679,i0
04946329056686,494,4946,4946329056686,i0
04946329056693,494,4946,4946329056693,i0
