gtin14,jan3,jan4,jan13keta
54987350106655,498,4987,4987350106650
54987350106679,498,4987,4987350106674
54987350106693,498,4987,4987350106698
54987350106716,498,4987,4987350106711
54987350106730,498,4987,4987350106735
54987350106754,498,4987,4987350106759
54987350106778,498,4987,4987350106773
54987350106792,498,4987,4987350106797
54987350106815,498,4987,4987350106810
54987350107072,498,4987,4987350107077
54987350107096,498,4987,4987350107091
54987350107119,498,4987,4987350107114
54987350107133,498,4987,4987350107138
54987350107157,498,4987,4987350107152
54987350107171,498,4987,4987350107176
54987350107195,498,4987,4987350107190
54987350107218,498,4987,4987350107213
54987350107355,498,4987,4987350107350
54987350107379,498,4987,4987350107374
54987350107454,498,4987,4987350107459
54987350107478,498,4987,4987350107473
54987350107492,498,4987,4987350107497
54987350108239,498,4987,4987350108234
54987350108253,498,4987,4987350108258
54987350108338,498,4987,4987350108333
54987350108376,498,4987,4987350108371
54987350108390,498,4987,4987350108395
54987350108413,498,4987,4987350108418
54987350108437,498,4987,4987350108432
54987350108451,498,4987,4987350108456
54987350108475,498,4987,4987350108470
54987350108499,498,4987,4987350108494
54987350108574,498,4987,4987350108579
54987350108598,498,4987,4987350108593
54987350108611,498,4987,4987350108616
54987350108635,498,4987,4987350108630
54987350108659,498,4987,4987350108654
54987350108673,498,4987,4987350108678
54987350108697,498,4987,4987350108692
54987350108710,498,4987,4987350108715
54987350108734,498,4987,4987350108739
54987350109199,498,4987,4987350109194
54987350109519,498,4987,4987350109514
54987350109533,498,4987,4987350109538
54987350109557,498,4987,4987350109552
54987350109717,498,4987,4987350109712
54987350119433,498,4987,4987350119438
54987350121191,498,4987,4987350121196
54987350121214,498,4987,4987350121219
54987350121238,498,4987,4987350121233
54987350123959,498,4987,4987350123954
54987350123973,498,4987,4987350123978
54987350124796,498,4987,4987350124791
54987350126639,498,4987,4987350126634
54987350130018,498,4987,4987350130013
54987350130155,498,4987,4987350130150
54987350130797,498,4987,4987350130792
54987350130834,498,4987,4987350130839
54987350130858,498,4987,4987350130853
54987350131039,498,4987,4987350131034
54987350131077,498,4987,4987350131072
54987350131336,498,4987,4987350131331
54987350131350,498,4987,4987350131355
54987350131435,498,4987,4987350131430
54987350131756,498,4987,4987350131751
54987350131817,498,4987,4987350131812
54987350132012,498,4987,4987350132017
54987350132814,498,4987,4987350132819
54987350132937,498,4987,4987350132932
54987350132975,498,4987,4987350132970
54987350133033,498,4987,4987350133038
54987350133057,498,4987,4987350133052
54987350133095,498,4987,4987350133090
54987350133118,498,4987,4987350133113
54987350133132,498,4987,4987350133137
54987350133170,498,4987,4987350133175
54987350133255,498,4987,4987350133250
54987350133279,498,4987,4987350133274
54987350133293,498,4987,4987350133298
54987350133316,498,4987,4987350133311
54987350133378,498,4987,4987350133373
54987350133392,498,4987,4987350133397
54987350133415,498,4987,4987350133410
54987350133477,498,4987,4987350133472
54987350133491,498,4987,4987350133496
54987350133552,498,4987,4987350133557
54987350133576,498,4987,4987350133571
54987350133590,498,4987,4987350133595
54987350133613,498,4987,4987350133618
54987350133675,498,4987,4987350133670
54987350133712,498,4987,4987350133717
54987350133958,498,4987,4987350133953
54987350133972,498,4987,4987350133977
54987350133996,498,4987,4987350133991
54987350134115,498,4987,4987350134110
54987350134153,498,4987,4987350134158
54987350134177,498,4987,4987350134172
54987350134191,498,4987,4987350134196
54987350134214,498,4987,4987350134219
54987350137253,498,4987,4987350137258
54987350137352,498,4987,4987350137357
54987350137659,498,4987,4987350137654
54987350137673,498,4987,4987350137678
54987350138793,498,4987,4987350138798
54987350139417,498,4987,4987350139412
54987350139851,498,4987,4987350139856
54987350139899,498,4987,4987350139894
54987350141038,498,4987,4987350141033
54987350141175,498,4987,4987350141170
54987350141335,498,4987,4987350141330
54987350141397,498,4987,4987350141392
54987350141410,498,4987,4987350141415
54987350141458,498,4987,4987350141453
54987350144213,498,4987,4987350144218
54987350144558,498,4987,4987350144553
54987350146132,498,4987,4987350146137
54987350146156,498,4987,4987350146151
54987350146194,498,4987,4987350146199
54987350146293,498,4987,4987350146298
54987350147139,498,4987,4987350147134
54987350148037,498,4987,4987350148032
54987350150511,498,4987,4987350150516
54987350150597,498,4987,4987350150592
54987350150696,498,4987,4987350150691
54987350150894,498,4987,4987350150899
54987350152256,498,4987,4987350152251
54987350152270,498,4987,4987350152275
54987350152614,498,4987,4987350152619
54987350152638,498,4987,4987350152633
54987350153390,498,4987,4987350153395
54987350155073,498,4987,4987350155078
54987350155592,498,4987,4987350155597
54987350156438,498,4987,4987350156433
54987350156674,498,4987,4987350156679
54987350157190,498,4987,4987350157195
54987350157473,498,4987,4987350157478
54987350159316,498,4987,4987350159311
54987350159675,498,4987,4987350159670
54987350160138,498,4987,4987350160133
54987350160152,498,4987,4987350160157
54987350163559,498,4987,4987350163554
54987350163573,498,4987,4987350163578
54987350164815,498,4987,4987350164810
54987350164839,498,4987,4987350164834
54987350164853,498,4987,4987350164858
54987350164877,498,4987,4987350164872
54987350165256,498,4987,4987350165251
54987350165478,498,4987,4987350165473
54987350165492,498,4987,4987350165497
54987350165652,498,4987,4987350165657
54987350165737,498,4987,4987350165732
54987350165850,498,4987,4987350165855
54987350166437,498,4987,4987350166432
54987350167359,498,4987,4987350167354
54987350168875,498,4987,4987350168870
54987350169018,498,4987,4987350169013
54987350169032,498,4987,4987350169037
54987350169056,498,4987,4987350169051
54987350169070,498,4987,4987350169075
54987350169254,498,4987,4987350169259
54987350169278,498,4987,4987350169273
54987350169537,498,4987,4987350169532
54987350174791,498,4987,4987350174796
54987350174838,498,4987,4987350174833
54987350174876,498,4987,4987350174871
54987350175835,498,4987,4987350175830
54987350176559,498,4987,4987350176554
54987350185858,498,4987,4987350185853
54987350185971,498,4987,4987350185976
54987350192177,498,4987,4987350192172
54987350192313,498,4987,4987350192318
54987350197493,498,4987,4987350197498
54987350200735,498,4987,4987350200730
54987350200759,498,4987,4987350200754
54987350200919,498,4987,4987350200914
54987350201718,498,4987,4987350201713
54987350201770,498,4987,4987350201775
54987350201794,498,4987,4987350201799
54987350202494,498,4987,4987350202499
54987350203835,498,4987,4987350203830
54987350205297,498,4987,4987350205292
54987350205952,498,4987,4987350205957
54987350205976,498,4987,4987350205971
54987350205990,498,4987,4987350205995
54987350206010,498,4987,4987350206015
54987350206034,498,4987,4987350206039
54987350206058,498,4987,4987350206053
54987350206898,498,4987,4987350206893
54987350206911,498,4987,4987350206916
54987350207413,498,4987,4987350207418
54987350208731,498,4987,4987350208736
54987350209394,498,4987,4987350209399
54987350209431,498,4987,4987350209436
54987350210093,498,4987,4987350210098
54987350210178,498,4987,4987350210173
54987350213391,498,4987,4987350213396
54987350216873,498,4987,4987350216878
54987350218136,498,4987,4987350218131
54987350218174,498,4987,4987350218179
54987350218198,498,4987,4987350218193
54987350218211,498,4987,4987350218216
54987350220993,498,4987,4987350220998
54987350223093,498,4987,4987350223098
54987350223970,498,4987,4987350223975
54987350224434,498,4987,4987350224439
54987350224458,498,4987,4987350224453
54987350224472,498,4987,4987350224477
54987350225578,498,4987,4987350225573
54987350225837,498,4987,4987350225832
54987350228418,498,4987,4987350228413
54987350228937,498,4987,4987350228932
54987350228951,498,4987,4987350228956
54987350229637,498,4987,4987350229632
54987350229651,498,4987,4987350229656
54987350229675,498,4987,4987350229670
54987350229699,498,4987,4987350229694
54987350229712,498,4987,4987350229717
54987350229736,498,4987,4987350229731
54987350229750,498,4987,4987350229755
54987350229774,498,4987,4987350229779
54987350229798,498,4987,4987350229793
54987350229811,498,4987,4987350229816
54987350229835,498,4987,4987350229830
54987350229859,498,4987,4987350229854
54987350229873,498,4987,4987350229878
54987350258095,498,4987,4987350258090
54987350259894,498,4987,4987350259899
54987350259917,498,4987,4987350259912
54987350259955,498,4987,4987350259950
54987350259979,498,4987,4987350259974
54987350259993,498,4987,4987350259998
54987350260098,498,4987,4987350260093
54987350260197,498,4987,4987350260192
54987350260333,498,4987,4987350260338
54987350260357,498,4987,4987350260352
54987350260395,498,4987,4987350260390
54987350260418,498,4987,4987350260413
54987350260432,498,4987,4987350260437
54987350260456,498,4987,4987350260451
54987350260494,498,4987,4987350260499
54987350260517,498,4987,4987350260512
54987350260531,498,4987,4987350260536
54987350260555,498,4987,4987350260550
54987350260579,498,4987,4987350260574
54987350260593,498,4987,4987350260598
54987350260630,498,4987,4987350260635
54987350260678,498,4987,4987350260673
54987350260692,498,4987,4987350260697
